MOLECULE_NAME,MECHANISM_OF_ACTION,TARGET_NAME
Mb07811,Thyroid hormone receptor beta-1 agonist,Thyroid hormone receptor beta-1
Becocalcidiol,Vitamin D receptor agonist,Vitamin D receptor
(7s)-Hydroxyl-Staurosporine,Protein kinase C (PKC) inhibitor,Protein kinase C (PKC)
Xl-281,Serine/threonine-protein kinase RAF inhibitor,Serine/threonine-protein kinase RAF
Cobiprostone,Chloride channel protein 2 activator,Chloride channel protein 2
Danirixin,Interleukin-8 receptor B antagonist,Interleukin-8 receptor B
Imiglitazar,Peroxisome proliferator-activated receptor gamma agonist,Peroxisome proliferator-activated receptor gamma
Cediranib,Platelet-derived growth factor receptor inhibitor,Platelet-derived growth factor receptor
Midostaurin,Stem cell growth factor receptor inhibitor,Stem cell growth factor receptor
Esmirtazapine,Histamine H1 receptor antagonist,Histamine H1 receptor
Afelimomab,TNF-alpha inhibitor,TNF-alpha
Istradefylline,Adenosine A2a receptor antagonist,Adenosine A2a receptor
Evofosfamide,DNA inhibitor,DNA
Aluminum Hydroxide,Unknown,
Gw493838,Adenosine A1 receptor agonist,Adenosine A1 receptor
G1t28-1,Cyclin-dependent kinase 6 inhibitor,Cyclin-dependent kinase 6
Cp-459632,Tyrosine-protein kinase receptor Tie-1 inhibitor,Tyrosine-protein kinase receptor Tie-1
Methdilazine,Histamine H1 receptor antagonist,Histamine H1 receptor
Acetophenazine,Dopamine D2 receptor antagonist,Dopamine D2 receptor
Omalizumab,Ig epsilon chain C region inhibitor,Ig epsilon chain C region
Penbutolol,Beta-1 adrenergic receptor antagonist,Beta-1 adrenergic receptor
Propafenone,Beta-1 adrenergic receptor antagonist,Beta-1 adrenergic receptor
Secretin,Secretin receptor agonist,Secretin receptor
Somatropin,Growth hormone receptor agonist,Growth hormone receptor
Mupirocin,Isoleucyl-tRNA synthetase inhibitor,Isoleucyl-tRNA synthetase
Methysergide,Serotonin 2c (5-HT2c) receptor antagonist,Serotonin 2c (5-HT2c) receptor
Decitabine,DNA (cytosine-5)-methyltransferase 1 inhibitor,DNA (cytosine-5)-methyltransferase 1
Fludrocortisone Acetate,Mineralocorticoid receptor agonist,Mineralocorticoid receptor
Halobetasol Propionate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Acetazolamide,Carbonic anhydrase XII inhibitor,Carbonic anhydrase XII
Doxazosin,Adrenergic receptor alpha-1 antagonist,Adrenergic receptor alpha-1
Naftifine,Squalene monooxygenase inhibitor,Squalene monooxygenase
Denosumab,Tumor necrosis factor ligand superfamily member 11 inhibitor,Tumor necrosis factor ligand superfamily member 11
Oxybutynin,Muscarinic acetylcholine receptor M2 antagonist,Muscarinic acetylcholine receptor M2
Rituximab,B-lymphocyte antigen CD20 inhibitor,B-lymphocyte antigen CD20
Dutasteride,Steroid 5-alpha-reductase inhibitor,Steroid 5-alpha-reductase
Dalfopristin,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Furazolidone,DNA inhibitor,DNA
Procainamide,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Levopropoxyphene,Unknown,
Ammonium Lactate,Unknown,
Lactitol,Colonic bacteria substrate,
Prussian Blue Insoluble,Radioactive metals chelating agent,Radioactive metals
Apremilast,Phosphodiesterase 4 inhibitor,Phosphodiesterase 4
Isavuconazonium,Lanosterol 14-alpha demethylase inhibitor,Lanosterol 14-alpha demethylase
Sebelipase Alfa,Triglyceride hydrolytic enzyme,Triglyceride
Su-14813,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Lxr-623,LXR-beta agonist,LXR-beta
Clx-0921,Peroxisome proliferator-activated receptor gamma agonist,Peroxisome proliferator-activated receptor gamma
Cep-37440,ALK tyrosine kinase receptor inhibitor,ALK tyrosine kinase receptor
Ly-3009120,Serine/threonine-protein kinase A-Raf inhibitor,Serine/threonine-protein kinase A-Raf
R-1487,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Rgb-286638,Cyclin-dependent kinase 1 inhibitor,Cyclin-dependent kinase 1
X-396,ALK tyrosine kinase receptor inhibitor,ALK tyrosine kinase receptor
Briciclib,G1/S-specific cyclin D1 inhibitor,G1/S-specific cyclin D1
Rg-1530,Serine/threonine-protein kinase PLK4 inhibitor,Serine/threonine-protein kinase PLK4
Mbx-8025,Peroxisome proliferator-activated receptor delta agonist,Peroxisome proliferator-activated receptor delta
Dp001,Vitamin D receptor agonist,Vitamin D receptor
Amuvatinib,Platelet-derived growth factor receptor alpha inhibitor,Platelet-derived growth factor receptor alpha
Ly2828360,Cannabinoid CB2 receptor agonist,Cannabinoid CB2 receptor
Trelanserin,Serotonin 2a (5-HT2a) receptor antagonist,Serotonin 2a (5-HT2a) receptor
Pratosartan,Type-1 angiotensin II receptor antagonist,Type-1 angiotensin II receptor
Bradanicline,Neuronal acetylcholine receptor protein alpha-7 subunit agonist,Neuronal acetylcholine receptor protein alpha-7 subunit
Raxatrigine,Sodium channel protein type IX alpha subunit blocker,Sodium channel protein type IX alpha subunit
Osimertinib,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor erbB1
Cobimetinib,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,Dual specificity mitogen-activated protein kinase kinase 2
Orantinib,Platelet-derived growth factor receptor inhibitor,Platelet-derived growth factor receptor
Lebrikizumab,Interleukin-13 inhibitor,Interleukin-13
Ocrelizumab,B-lymphocyte antigen CD20 other,B-lymphocyte antigen CD20
Bococizumab,Subtilisin/kexin type 9 inhibitor,Subtilisin/kexin type 9
Amrubicin,DNA topoisomerase II alpha inhibitor,DNA topoisomerase II alpha
Enlimomab Pegol,Intercellular adhesion molecule-1 antagonist,Intercellular adhesion molecule-1
Trc-105,Endoglin inhibitor,Endoglin
Ligelizumab,Ig epsilon chain C region inhibitor,Ig epsilon chain C region
Cevimeline,Muscarinic acetylcholine receptor M3 agonist,Muscarinic acetylcholine receptor M3
Bivalirudin,Thrombin inhibitor,Thrombin
Levodopa,Dopamine D3 receptor agonist,Dopamine D3 receptor
Histrelin,Gonadotropin-releasing hormone receptor agonist,Gonadotropin-releasing hormone receptor
Cevimeline,Muscarinic acetylcholine receptor M1 agonist,Muscarinic acetylcholine receptor M1
Mepenzolate,Muscarinic acetylcholine receptor M1 antagonist,Muscarinic acetylcholine receptor M1
Cycrimine,Muscarinic acetylcholine receptor M1 antagonist,Muscarinic acetylcholine receptor M1
Imatinib,Platelet-derived growth factor receptor beta inhibitor,Platelet-derived growth factor receptor beta
Mequinol,Tyrosinase inhibitor,Tyrosinase
Insulin Susp Isophane Recombinant Human,Insulin receptor agonist,Insulin receptor
Haloperidol Decanoate,Serotonin 2a (5-HT2a) receptor antagonist,Serotonin 2a (5-HT2a) receptor
Betamethasone,Glucocorticoid receptor agonist,Glucocorticoid receptor
Pazopanib,Tyrosine-protein kinase LCK inhibitor,Tyrosine-protein kinase LCK
Cerivastatin,HMG-CoA reductase inhibitor,HMG-CoA reductase
Ibuprofen,Cyclooxygenase inhibitor,Cyclooxygenase
Eflornithine,Ornithine decarboxylase inhibitor,Ornithine decarboxylase
Oprelvekin,Interleukin 11 receptor alpha agonist,Interleukin 11 receptor alpha
Hetacillin,Penicillin-binding protein inhibitor,Penicillin-binding protein
Flavoxate,Phosphodiesterase 8 inhibitor,Phosphodiesterase 8
Alatrofloxacin,Topoisomerase IV inhibitor,Topoisomerase IV
Cefotiam,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Ampicillin,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Besifloxacin,Bacterial DNA gyrase inhibitor,Bacterial DNA gyrase
Agalsidase Beta,Globotriosylceramide hydrolytic enzyme,Globotriosylceramide
Prilocaine,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Ziprasidone,Dopamine D2 receptor antagonist,Dopamine D2 receptor
Pegaspargase,Asparagine hydrolytic enzyme,Asparagine
Su-014813,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Ilorasertib,Serine/threonine-protein kinase Aurora inhibitor,Serine/threonine-protein kinase Aurora
Allitinib,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor erbB1
Cc-115,Serine/threonine-protein kinase mTOR inhibitor,Serine/threonine-protein kinase mTOR
Cep-7055,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Osi-930,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Nktr-171,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Ag-13958,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Cc-401,c-Jun N-terminal kinase 1 inhibitor,c-Jun N-terminal kinase 1
Tandutinib,Stem cell growth factor receptor inhibitor,Stem cell growth factor receptor
Milciclib,Nerve growth factor receptor Trk-A inhibitor,Nerve growth factor receptor Trk-A
Famitinib,Vascular endothelial growth factor receptor 1 inhibitor,Vascular endothelial growth factor receptor 1
Tg100-801,Platelet-derived growth factor receptor beta inhibitor,Platelet-derived growth factor receptor beta
(7s)-Hydroxyl-Staurosporine,Cyclin-dependent kinase 2 inhibitor,Cyclin-dependent kinase 2
Elubrixin,Interleukin-8 receptor B antagonist,Interleukin-8 receptor B
Rg3487,Serotonin 3 (5-HT3) receptor antagonist,Serotonin 3 (5-HT3) receptor
Adipiplon,GABA-A receptor; benzodiazepine site partial agonist,GABA-A receptor; benzodiazepine site
Dacomitinib,Receptor protein-tyrosine kinase erbB-2 inhibitor,Receptor protein-tyrosine kinase erbB-2
Fedratinib,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Medi-500,T-cell receptor antagonist,T-cell receptor
Atezolizumab,Programmed cell death 1 ligand 1 inhibitor,Programmed cell death 1 ligand 1
Agatolimod,Toll-like receptor 9 agonist,Toll-like receptor 9
Orteronel,Cytochrome P450 17A1 inhibitor,Cytochrome P450 17A1
Arbaclofen Placarbil,GABA-B receptor agonist,GABA-B receptor
Tanespimycin,Heat shock protein HSP90 inhibitor,Heat shock protein HSP90
Aldoxorubicin,DNA topoisomerase II alpha inhibitor,DNA topoisomerase II alpha
Biib054,Alpha-synuclein inhibitor,Alpha-synuclein
Milveterol,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
Anisotropine,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
Meclizine,Histamine H1 receptor antagonist,Histamine H1 receptor
Methylergonovine,Serotonin 2b (5-HT2b) receptor partial agonist,Serotonin 2b (5-HT2b) receptor
"Gonadotropin, Chorionic",Luteinizing hormone/Choriogonadotropin receptor agonist,Luteinizing hormone/Choriogonadotropin receptor
Naratriptan,Serotonin 1b (5-HT1b) receptor agonist,Serotonin 1b (5-HT1b) receptor
Cholecalciferol,Vitamin D receptor agonist,Vitamin D receptor
Insulin Susp Protamine Zinc Purified Beef,Insulin receptor agonist,Insulin receptor
Bimatoprost,Prostanoid FP receptor agonist,Prostanoid FP receptor
Methylphenidate,Dopamine transporter inhibitor,Dopamine transporter
Sermorelin Acetate,Growth hormone-releasing hormone receptor agonist,Growth hormone-releasing hormone receptor
Hydrocortisone Hemisuccinate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Triamcinolone Diacetate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Fluocinolone Acetonide,Glucocorticoid receptor agonist,Glucocorticoid receptor
Oxiglutatione,Glutathione reductase,Glutathione reductase
Sapropterin,Phenylalanine-4-hydroxylase activator,Phenylalanine-4-hydroxylase
Ocriplasmin,Fibronectin proteolytic enzyme,Fibronectin
Pitavastatin,HMG-CoA reductase inhibitor,HMG-CoA reductase
Theophylline Glycinate,Phosphodiesterase 4 inhibitor,Phosphodiesterase 4
Dexmedetomidine,Adrenergic receptor alpha-2 agonist,Adrenergic receptor alpha-2
Mesalamine,Cyclooxygenase inhibitor,Cyclooxygenase
Fludarabine Phosphate,Ribonucleoside-diphosphate reductase RR1 inhibitor,Ribonucleoside-diphosphate reductase RR1
Sotalol,Beta-2 adrenergic receptor antagonist,Beta-2 adrenergic receptor
Esmolol,Beta-2 adrenergic receptor antagonist,Beta-2 adrenergic receptor
Azathioprine,Amidophosphoribosyltransferase inhibitor,Amidophosphoribosyltransferase
Daclizumab,Interleukin-2 receptor inhibitor,Interleukin-2 receptor
Natamycin,Ergosterol sequestering agent,Ergosterol
Azacitidine,DNA inhibitor,DNA
Clofarabine,DNA inhibitor,DNA
Capecitabine,DNA inhibitor,DNA
Ofloxacin,Bacterial DNA gyrase inhibitor,Bacterial DNA gyrase
Pentamidine,Kinetoplast DNA inhibitor,Kinetoplast DNA
Moricizine,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Quetiapine,Dopamine D2 receptor antagonist,Dopamine D2 receptor
Chymopapain,Polypeptides proteolytic enzyme,Polypeptides
Pemirolast,Unknown,
Cangrelor,Purinergic receptor P2Y12 antagonist,Purinergic receptor P2Y12
Su-14813,Stem cell growth factor receptor inhibitor,Stem cell growth factor receptor
Gsk2881078,Androgen Receptor modulator,Androgen Receptor
4sc-203,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Azd-0424,Tyrosine-protein kinase SRC inhibitor,Tyrosine-protein kinase SRC
Bms-387032,Cyclin-dependent kinase 9 inhibitor,Cyclin-dependent kinase 9
Pki-179,PI3-kinase p110-alpha subunit inhibitor,PI3-kinase p110-alpha subunit
Ro-3201195,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Ttp-607,Serine/threonine-protein kinase Aurora inhibitor,Serine/threonine-protein kinase Aurora
Rg7342,Metabotropic glutamate receptor 5 modulator,Metabotropic glutamate receptor 5
Ly2969822,Metabotropic glutamate receptor 2 agonist,Metabotropic glutamate receptor 2
Puquitinib,Platelet-derived growth factor receptor beta inhibitor,Platelet-derived growth factor receptor beta
Mt-3995,Mineralocorticoid receptor antagonist,Mineralocorticoid receptor
Onapristone,Progesterone receptor antagonist,Progesterone receptor
Crenolanib,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Osi-027,Serine/threonine-protein kinase mTOR inhibitor,Serine/threonine-protein kinase mTOR
Milciclib,Cyclin-dependent kinase 2 inhibitor,Cyclin-dependent kinase 2
Tesevatinib,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor erbB1
Elzasonan,Serotonin 1b (5-HT1b) receptor antagonist,Serotonin 1b (5-HT1b) receptor
Atagabalin,Voltage-gated calcium channel modulator,Voltage-gated calcium channel
Girentuximab,Carbonic anhydrase IX other,Carbonic anhydrase IX
Di17e6,Integrin alpha-V/beta-1 inhibitor,Integrin alpha-V/beta-1
Stx-100,Integrin alpha-V/beta-6 inhibitor,Integrin alpha-V/beta-6
Cantuzumab Ravtansine,Mucin-1 binding agent,Mucin-1
Intetumumab,Integrin alpha-V/beta-6 antagonist,Integrin alpha-V/beta-6
Ozoralizumab,TNF-alpha inhibitor,TNF-alpha
Atovaquone,Cytochrome b inhibitor,Cytochrome b
Tolterodine,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
Mepenzolate,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
Oxyphencyclimine,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
Streptokinase,Plasminogen activator,Plasminogen
Reteplase,Plasminogen activator,Plasminogen
Olopatadine,Histamine H1 receptor antagonist,Histamine H1 receptor
Methimazole,Thyroid peroxidase inhibitor,Thyroid peroxidase
Ganirelix Acetate,Gonadotropin-releasing hormone receptor antagonist,Gonadotropin-releasing hormone receptor
Almotriptan,Serotonin 1b (5-HT1b) receptor agonist,Serotonin 1b (5-HT1b) receptor
Dicumarol,Vitamin k epoxide reductase complex subunit 1 isoform 1 inhibitor,Vitamin k epoxide reductase complex subunit 1 isoform 1
Nizatidine,Histamine H2 receptor antagonist,Histamine H2 receptor
Insulin Aspart,Insulin receptor agonist,Insulin receptor
Dextroamphetamine,Dopamine transporter releasing agent,Dopamine transporter
Halcinonide,Glucocorticoid receptor agonist,Glucocorticoid receptor
Fluorometholone Acetate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Meprednisone,Glucocorticoid receptor agonist,Glucocorticoid receptor
Ciclesonide,Glucocorticoid receptor agonist,Glucocorticoid receptor
Desipramine,Norepinephrine transporter inhibitor,Norepinephrine transporter
Amphetamine,Norepinephrine transporter releasing agent,Norepinephrine transporter
Dibucaine,Sodium channel protein type X alpha subunit blocker,Sodium channel protein type X alpha subunit
Alendronic Acid,Farnesyl diphosphate synthase inhibitor,Farnesyl diphosphate synthase
Pravastatin,HMG-CoA reductase inhibitor,HMG-CoA reductase
Diclofenac,Cyclooxygenase inhibitor,Cyclooxygenase
Isosorbide Mononitrate,Soluble guanylate cyclase activator,Soluble guanylate cyclase
Sunitinib,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Regorafenib,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Boceprevir,"Hepatitis C virus serine protease, NS3/NS4A inhibitor","Hepatitis C virus serine protease, NS3/NS4A"
Flutamide,Androgen Receptor antagonist,Androgen Receptor
Propylthiouracil,Type I iodothyronine deiodinase (Type-I 5&apos;deiodinase) (DIOI) (Type 1 DI) (5DI) inhibitor,Type I iodothyronine deiodinase (Type-I 5'-deiodinase) (DIOI) (Type 1 DI) (5DI)
Milrinone,Phosphodiesterase 3A inhibitor,Phosphodiesterase 3A
Primidone,GABA-A receptor; anion channel positive allosteric modulator,GABA-A receptor; anion channel
Ceforanide,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Quinupristin,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Fingolimod,Sphingosine 1-phosphate receptor agonist,Sphingosine 1-phosphate receptor
Phenazopyridine,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Tocainide,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Isoflurane,Potassium channel subfamily K member 3 opener,Potassium channel subfamily K member 3
Nedocromil,Unknown,
Cupric Sulfate,Unknown,
Fospropofol,Unknown,
Luliconazole,Cytochrome P450 51 inhibitor,Cytochrome P450 51
Droxidopa,Adrenergic receptor agonist,Adrenergic receptor
Elosulfase Alfa,Chondroitin-6-sulfate hydrolytic enzyme,Chondroitin-6-sulfate
Edoxaban,Coagulation factor X inhibitor,Coagulation factor X
Trabectedin,DNA inhibitor,DNA
Cobimetinib,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,Dual specificity mitogen-activated protein kinase kinase 2
Ac-480,Receptor protein-tyrosine kinase erbB-4 inhibitor,Receptor protein-tyrosine kinase erbB-4
Ly-2606368,Serine/threonine-protein kinase Chk1 inhibitor,Serine/threonine-protein kinase Chk1
Mk-8353,MAP kinase ERK1 inhibitor,MAP kinase ERK1
Pf-00337210,Vascular endothelial growth factor receptor 2 inhibitor,Vascular endothelial growth factor receptor 2
Rg-7603,Serine/threonine-protein kinase mTOR inhibitor,Serine/threonine-protein kinase mTOR
Irdabisant,Histamine H3 receptor antagonist,Histamine H3 receptor
Puquitinib,PI3-kinase class I inhibitor,PI3-kinase class I
Azd3161,Sodium channel protein type IX alpha subunit blocker,Sodium channel protein type IX alpha subunit
Elpetrigine,Voltage-gated L-type calcium channel blocker,Voltage-gated L-type calcium channel
Pac-14028,Vanilloid receptor antagonist,Vanilloid receptor
Mk-0533,Peroxisome proliferator-activated receptor gamma modulator,Peroxisome proliferator-activated receptor gamma
Aee-788,Receptor protein-tyrosine kinase erbB-2 inhibitor,Receptor protein-tyrosine kinase erbB-2
Telatinib,Platelet-derived growth factor receptor beta inhibitor,Platelet-derived growth factor receptor beta
E-6201,Mitogen-activated protein kinase kinase kinase 1 inhibitor,Mitogen-activated protein kinase kinase kinase 1
Pd-0325901,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,Dual specificity mitogen-activated protein kinase kinase 1
Chir-265,Serine/threonine-protein kinase B-raf inhibitor,Serine/threonine-protein kinase B-raf
Apitolisib,PI3-kinase class I inhibitor,PI3-kinase class I
Bms-833923,Smoothened homolog antagonist,Smoothened homolog
Ur-63325,Histamine H4 receptor antagonist,Histamine H4 receptor
Capadenoson,Adenosine A1 receptor partial agonist,Adenosine A1 receptor
Enrasentan,Endothelin receptor ET-B antagonist,Endothelin receptor ET-B
Saracatinib,Tyrosine-protein kinase ABL inhibitor,Tyrosine-protein kinase ABL
Lestaurtinib,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Alvocidib,Cyclin-dependent kinase 7 inhibitor,Cyclin-dependent kinase 7
Binimetinib,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,Dual specificity mitogen-activated protein kinase kinase 1
Esuberaprost,Prostanoid IP receptor agonist,Prostanoid IP receptor
Encenicline,Neuronal acetylcholine receptor protein alpha-7 subunit partial agonist,Neuronal acetylcholine receptor protein alpha-7 subunit
Figitumumab,Insulin-like growth factor I receptor antagonist,Insulin-like growth factor I receptor
Indibulin,Tubulin inhibitor,Tubulin
Oliceridine,Mu opioid receptor agonist,Mu opioid receptor
Conbercept,Vascular endothelial growth factor C inhibitor,Vascular endothelial growth factor C
Mm-302,DNA topoisomerase II alpha inhibitor,DNA topoisomerase II alpha
Sotatercept,Inhibin beta A chain inhibitor,Inhibin beta A chain
Sar-3419,B-lymphocyte antigen CD19 binding agent,B-lymphocyte antigen CD19
Fg-3019,Connective tissue growth factor inhibitor,Connective tissue growth factor
Decoglurant,Metabotropic glutamate receptor 3 modulator,Metabotropic glutamate receptor 3
Pegaptanib Sodium,Vascular endothelial growth factor A antagonist,Vascular endothelial growth factor A
Quinapril,Angiotensin-converting enzyme inhibitor,Angiotensin-converting enzyme
Fexofenadine,Histamine H1 receptor antagonist,Histamine H1 receptor
Dexbrompheniramine,Histamine H1 receptor antagonist,Histamine H1 receptor
Chlorprothixene,Dopamine D3 receptor antagonist,Dopamine D3 receptor
Insulin Susp Isophane Semisynthetic Purified Human,Insulin receptor agonist,Insulin receptor
Didanosine,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,Human immunodeficiency virus type 1 reverse transcriptase
Pseudoephedrine,Norepinephrine transporter releasing agent,Norepinephrine transporter
Orphenadrine,Norepinephrine transporter inhibitor,Norepinephrine transporter
Lisdexamfetamine,Norepinephrine transporter releasing agent,Norepinephrine transporter
Hydroxychloroquine,Ferriprotoporphyrin IX inhibitor,Ferriprotoporphyrin IX
Norethindrone Acetate,Progesterone receptor agonist,Progesterone receptor
Ethynodiol Diacetate,Progesterone receptor agonist,Progesterone receptor
Nebivolol,Beta-2 adrenergic receptor antagonist,Beta-2 adrenergic receptor
Erythromycin,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Plicamycin,DNA inhibitor,DNA
Carmustine,DNA inhibitor,DNA
Sevelamer,Unknown,
Dimethyl Sulfoxide,Unknown,
Calcium Acetate,Phosphate sequestering agent,Phosphate
Crofelemer,Anoctamin-1 blocker,Anoctamin-1
Amg-319,PI3-kinase p110-delta subunit inhibitor,PI3-kinase p110-delta subunit
Azd-8330,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,Dual specificity mitogen-activated protein kinase kinase 2
Cr-3465,Cysteinyl leukotriene receptor 1 antagonist,Cysteinyl leukotriene receptor 1
Rg-7420,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,Dual specificity mitogen-activated protein kinase kinase 1
Elpetrigine,Sodium channel protein type II alpha subunit blocker,Sodium channel protein type II alpha subunit
Ly-518674,Peroxisome proliferator-activated receptor alpha agonist,Peroxisome proliferator-activated receptor alpha
Akn-028,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Copanlisib,PI3-kinase class I inhibitor,PI3-kinase class I
Amuvatinib,Stem cell growth factor receptor inhibitor,Stem cell growth factor receptor
Voxtalisib,Serine/threonine-protein kinase mTOR inhibitor,Serine/threonine-protein kinase mTOR
Incb-40093,PI3-kinase p110-delta subunit inhibitor,PI3-kinase p110-delta subunit
Retosiban,Oxytocin receptor antagonist,Oxytocin receptor
Jnj-17216498,Histamine H3 receptor antagonist,Histamine H3 receptor
Ponesimod,Sphingosine 1-phosphate receptor Edg-1 agonist,Sphingosine 1-phosphate receptor Edg-1
Ladarixin,Interleukin-8 receptor B modulator,Interleukin-8 receptor B
Ce-224535,P2X purinoceptor 7 antagonist,P2X purinoceptor 7
Tc-6499,Neuronal acetylcholine receptor; alpha4/beta2 agonist,Neuronal acetylcholine receptor; alpha4/beta2
Indantadol,Glutamate [NMDA] receptor antagonist,Glutamate [NMDA] receptor
Nerispirdine,Voltage-gated potassium channel blocker,Voltage-gated potassium channel
Cediranib,Stem cell growth factor receptor inhibitor,Stem cell growth factor receptor
Neratinib,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor erbB1
Midostaurin,Protein kinase C (PKC) inhibitor,Protein kinase C (PKC)
Aplaviroc,C-C chemokine receptor type 5 antagonist,C-C chemokine receptor type 5
Arbaclofen,GABA-B receptor agonist,GABA-B receptor
Obatoclax,Apoptosis regulator Bcl-2 inhibitor,Apoptosis regulator Bcl-2
Talazoparib,Poly [ADP-ribose] polymerase-1 inhibitor,Poly [ADP-ribose] polymerase-1
Diphemanil,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
Acetylcholine,Muscarinic acetylcholine receptor M3 agonist,Muscarinic acetylcholine receptor M3
Clidinium,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
Methazolamide,Carbonic anhydrase II inhibitor,Carbonic anhydrase II
Lanreotide,Somatostatin receptor 2 agonist,Somatostatin receptor 2
Peginesatide Acetate,Erythropoietin receptor agonist,Erythropoietin receptor
Promethazine,Histamine H1 receptor antagonist,Histamine H1 receptor
Propiomazine,Histamine H1 receptor antagonist,Histamine H1 receptor
Tripelennamine,Histamine H1 receptor antagonist,Histamine H1 receptor
Valsartan,Type-1 angiotensin II receptor antagonist,Type-1 angiotensin II receptor
Cyclothiazide,Thiazide-sensitive sodium-chloride cotransporter inhibitor,Thiazide-sensitive sodium-chloride cotransporter
Benzthiazide,Thiazide-sensitive sodium-chloride cotransporter inhibitor,Thiazide-sensitive sodium-chloride cotransporter
Escitalopram,Serotonin transporter inhibitor,Serotonin transporter
Pazopanib,Stem cell growth factor receptor inhibitor,Stem cell growth factor receptor
Sitagliptin,Dipeptidyl peptidase IV inhibitor,Dipeptidyl peptidase IV
Linagliptin,Dipeptidyl peptidase IV inhibitor,Dipeptidyl peptidase IV
Seractide Acetate,Melanocortin receptor 2 agonist,Melanocortin receptor 2
Treprostinil,Prostanoid IP receptor agonist,Prostanoid IP receptor
Zalcitabine,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,Human immunodeficiency virus type 1 reverse transcriptase
Miglitol,Maltase-glucoamylase inhibitor,Maltase-glucoamylase
Eribulin,Tubulin inhibitor,Tubulin
Carvedilol,Adrenergic receptor alpha-1 antagonist,Adrenergic receptor alpha-1
Thioguanine,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor,Inosine-5'-monophosphate dehydrogenase (IMPDH)
Phenelzine,Monoamine oxidase inhibitor,Monoamine oxidase
Ethylestrenol,Androgen Receptor agonist,Androgen Receptor
Nandrolone Decanoate,Androgen Receptor agonist,Androgen Receptor
Testosterone Cypionate,Androgen Receptor agonist,Androgen Receptor
Pipecuronium,Muscle-type nicotinic acetylcholine receptor antagonist,Muscle-type nicotinic acetylcholine receptor
Metocurine,Muscle-type nicotinic acetylcholine receptor antagonist,Muscle-type nicotinic acetylcholine receptor
