SYNONYMS,ATC_CODE,ATC_CODE_DESCRIPTION,INDICATION_CLASS
Huhmfg1,,,
Ipecac (USP);,,,Emetic
Sennoside (JAN); Sennosides (USP);,,,Laxative
Opium (USP);,N02AA02; A07DA02,"N02AA02 [NERVOUS SYSTEM: ANALGESICS: OPIOIDS: Natural opium alkaloids]; A07DA02 [ALIMENTARY TRACT AND METABOLISM: ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS: ANTIPROPULSIVES: Antipropulsives]",
Ame-133v,,,
Scopolia Extract (JAN);,,,
"Sulglicotide (BAN, INN);",A02BX08,A02BX08 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR ACID RELATED DISORDERS: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD): Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)],
"Sugar, Compressible (NF);",,,Pharmaceutic Aid (tablet excipient); Pharmaceutic Aid (flavor)
Asg-22me,,,
Pf-03732010,,,
Paflufocon D-Hem-Iberfilcon A (USAN);,,,
Pg-110,,,
"Bezlotoxumab (FDA, INN, USAN);",J06BB21,J06BB21 [ANTIINFECTIVES FOR SYSTEMIC USE: IMMUNE SERA AND IMMUNOGLOBULINS: IMMUNOGLOBULINS: Specific immunoglobulins],
"Biniramycin (INN, USAN);",,,Antibacterial
Sulesomab Tc,,,
Bultal (JAN);,,,
"Enviomycin Sulfate (JAN); Enviomycin (INN, MI);",,,
Suxemerid Sulfate (USAN);,,,Antitussive
Truxicurium Iodide (INN);,,,
Bunolol (INN); Bunolol HCl (USAN);,,,Anti-Adrenergic (beta-receptor)
"Calcium Glubionate (INN, USAN, USP);",,,Replenisher (calcium)
Amedalin HCl (USAN);,,,Antidepressant
Chlorbenzoxamine (INN); Chlorbenzoxamine HCl (MI);,A03AX03,A03AX03 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS: Other drugs for functional gastrointestinal disorders],
"Bidimazium Iodide (BAN, INN);",,,
"Halopenium Chloride (BAN, INN);",,,
"Ciramadol (INN, USAN); Ciramadol HCl (USAN);",,,Analgesic
Symetine HCl (USAN);,,,Anti-Amebic
Suncillin Sodium (USAN);,,,Antibacterial
"Butriptyline HCl (USAN); Butriptyline (BAN, INN);",N06AA15,N06AA15 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTIDEPRESSANTS: Non-selective monoamine reuptake inhibitors],Antidepressant
Cromitrile Sodium (USAN);,,,Anti-Asthmatic
Oxysonium Iodide (INN);,,,
Imidoline HCl (USAN); Imidoline (INN);,,,Antipsychotic
Piridicillin Sodium (USAN);,,,Antibacterial
Pirralkonium Bromide (INN);,,,
"Dofamium Chloride (BAN, INN);",,,
"Cholestyramine Resin (USP); Colestyramine (BAN, INN, JAN);",,,Antihyperlipidemic; Ion-Exchange Resin (bile salts)
"Troclosene Potassium (INN, USAN);",,,"Anti-Infective, Topical"
"Volazocine (INN, USAN);",,,Analgesic
"Amphecloral (USAN); Amfecloral (BAN, INN);",,,Anorexic
Diohippuric Acid (131I) (USAN); Diohippuric Acid (125I) (USAN);,,,Radioactive Agent
Democonazole (INN);,,,
Cinoxopazide (INN);,,,
Pantethine (JAN);,A11HA32,A11HA32 [ALIMENTARY TRACT AND METABOLISM: VITAMINS: OTHER PLAIN VITAMIN PREPARATIONS: Other plain vitamin preparations],
"Glucametacin (INN, MI);",,,
Iodofiltic acid (123i) (INN); Iodofiltic Acid I 123 (USAN);,,,
Xylocoumarol (INN);,,,
Azaftozine (INN);,,,
"Flunidazole (INN, USAN);",,,Antiprotozoal
"Zinostatin (INN, USAN);",,,Antineoplastic
"Pentopril (INN, USAN);",,,Enzyme Inhibitor (angiotensin-converting)
"Sultosilic Acid (INN, MI);",,,
Bakeprofen (INN);,,,
Semapimod (INN);,,,
"Clofenciclan (INN, MI);",,,
"Ibrotamide (DCF, INN, MI);",,,
Nesosteine (INN);,,,
Rilozarone (INN);,,,
Omidoline (INN);,,,
"Penmesterol (DCF, INN);",,,
Cimepanol (INN);,,,
"Taloximine (BAN, INN);",,,
Amiterol (INN);,,,
"Sulbenicillin Sodium (JAN); Sulbenicillin (INN, MI);",J01CA16,"J01CA16 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: BETA-LACTAM ANTIBACTERIALS, PENICILLINS: Penicillins with extended spectrum]",
"Bucolome (INN, JAN, MI);",,,
Iofratol (INN);,,,
Sulfamazone (INN);,J01ED09,J01ED09 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: SULFONAMIDES AND TRIMETHOPRIM: Long-acting sulfonamides],
Cronidipine (INN);,,,
"Clocapramine HCl (JAN); Clocapramine (INN, MI);",,,
"Tidembersat (INN, USAN);",,,
"Metomidate (BAN, INN, MI);",,,
"Cyclexanone (INN, MI);",,,
"Etamocycline (DCF, INN);",,,
Parodilol (INN);,,,
Sulfamoprine (BAN);,,,
"Lynestrenol (INN, JAN, USAN); Lynoestrenol (BAN);",G03DC03; G03AC02,G03DC03 [GENITO URINARY SYSTEM AND SEX HORMONES: SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM: PROGESTOGENS: Estren derivatives]; G03AC02 [GENITO URINARY SYSTEM AND SEX HORMONES: SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM: HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE: Progestogens],Progestin
Metynodiol (INN); Methynodiol Diacetate (USAN);,,,Progestin
"Tramadol HCl (FDA, JAN, USAN); Tramadol (BAN, INN);",N02AX02,N02AX02 [NERVOUS SYSTEM: ANALGESICS: OPIOIDS: Other opioids],Analgesic
"Ipodate Sodium (FDA, USAN, USP); Sodium Iopodate (BAN, INN, JAN); Ipodate Calcium (FDA, USP);",,,Diagnostic Aid (radiopaque medium)
"Iodine (JAN, USP);",D08AG03,D08AG03 [DERMATOLOGICALS: ANTISEPTICS AND DISINFECTANTS: ANTISEPTICS AND DISINFECTANTS: Iodine products],"Anti-Infective, Topical"
"Gadopentetic Acid (BAN, INN); Gadopentetate Dimeglumine (FDA, USAN, USP); Meglumine Gadopentetate (JAN);",V08CA01,V08CA01 [VARIOUS: CONTRAST MEDIA: MAGNETIC RESONANCE IMAGING CONTRAST MEDIA: Paramagnetic contrast media],Diagnostic Aid
Osemozotan (INN);,,,
Pargolol (INN);,,,
Perastine (INN);,,,
Pirepolol (INN);,,,
"Chloroxine (FDA, USAN);",,,Antiseborrheic
Piritrexim Isethionate (USAN); Piritrexim (INN);,,,Antiproliferative Agent
"Mersalyl Sodium (FDA); Mersalyl (DCF, MI, DCF, INN, MI);",,,
Azumolene Sodium (USAN); Azumolene (INN);,,,Relaxant (skeletal muscle)
Tarazepide (INN);,,,
Tilisolol (INN);,,,
Ericolol (INN);,,,
"Vedolizumab (FDA, INN, USAN);",L04AA33,L04AA33 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: IMMUNOSUPPRESSANTS: IMMUNOSUPPRESSANTS: Selective immunosuppressants],
"Narnatumab (INN, USAN);",,,
"Decamethonium Iodide (BAN); Decamethonium Bromide (FDA, INN, MI, USP);",,,
"Vesencumab (INN, USAN);",,,
"Ramucirumab (FDA, INN, USAN);",L01XC21,L01XC21 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Monoclonal antibodies],
"Elotuzumab (FDA, INN, USAN);",L01XC23,L01XC23 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Monoclonal antibodies],
Midesteine (INN);,,,
"Blosozumab (INN, USAN);",,,
Vinleurosine Sulfate (USAN);,,,Antineoplastic
"Ouabain (MI, USP, MI, USP); G-Strophanthin (JAN);",,,
"Otelixizumab (INN, USAN);",,,
Panobacumab (INN);,,,
"Dacetuzumab (INN, USAN);",,,
"Mipomersen (INN); Mipomersen Sodium (FDA, USAN);",C10AX11,"C10AX11 [CARDIOVASCULAR SYSTEM: LIPID MODIFYING AGENTS: LIPID MODIFYING AGENTS, PLAIN: Other lipid modifying agents]",
Trimedoxime Bromide (INN);,,,
"Girentuximab (INN, USAN);",,,
Glutamic acid hydrochloride,A09AB01,"A09AB01 [ALIMENTARY TRACT AND METABOLISM: DIGESTIVES, INCL. ENZYMES: DIGESTIVES, INCL. ENZYMES: Acid preparations]",
"Streptomycin (BAN, INN); Streptomycin Sulfate (FDA, JAN, USP);",A07AA04; A07AA54; J01GA01,"A07AA04 [ALIMENTARY TRACT AND METABOLISM: ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS: INTESTINAL ANTIINFECTIVES: Antibiotics]; A07AA54 [ALIMENTARY TRACT AND METABOLISM: ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS: INTESTINAL ANTIINFECTIVES: Antibiotics]; J01GA01 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: AMINOGLYCOSIDE ANTIBACTERIALS: Streptomycins]",Antibacterial (tuberculostatic)
MK-2461,,,
"Fenpiverinium Bromide (INN, MI);",A03AB21,"A03AB21 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS: Synthetic anticholinergics, quaternary ammonium compounds]",
"Ipilimumab (FDA, INN, USAN);",L01XC11,L01XC11 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Monoclonal antibodies],
Omiganan Pentahydrochloride (USAN);,,,
"Hydroxyamfetamine (BAN, INN); Hydroxyamphetamine Hydrobromide (FDA, USP);",,,Adrenergic (ophthalmic)
"Demecarium Bromide (BAN, FDA, INN, USP);",S01EB04,S01EB04 [SENSORY ORGANS: OPHTHALMOLOGICALS: ANTIGLAUCOMA PREPARATIONS AND MIOTICS: Parasympathomimetics],Cholinergic (ophthalmic)
"Levobetaxolol HCl (FDA, USAN); Levobetaxolol (INN);",,,Anti-Adrenergic (beta-receptor)
"Tilmicosin (BAN, INN, USAN, USP); Tilmicosin Phosphate (USAN);",,,Antibacterial (veterinary)
"Zanoterone (INN, USAN);",,,Anti-Androgen
"Cefbuperazone Sodium (JAN); Cefbuperazone (INN, USAN);",J01DC13,J01DC13 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: OTHER BETA-LACTAM ANTIBACTERIALS: Second-generation cephalosporins],Antibacterial
"Fosfluconazole (BAN, INN);",,,
"Rokitamycin (INN, JAN, MI);",J01FA12,"J01FA12 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS: Macrolides]",
Masitinib (INN);,L01XE22,L01XE22 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Protein kinase inhibitors],
"Norcodeine (BAN, INN, MI);",,,
"Tacrolimus Hydrate (JAN); Tacrolimus (BAN, FDA, INN, USAN);",L04AD02; D11AH01,"L04AD02 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: IMMUNOSUPPRESSANTS: IMMUNOSUPPRESSANTS: Calcineurin inhibitors]; D11AH01 [DERMATOLOGICALS: OTHER DERMATOLOGICAL PREPARATIONS: OTHER DERMATOLOGICAL PREPARATIONS: Agents for dermatitis, excluding corticosteroids]",Immunosuppressant
Lirimilast (INN);,,,
"Avanafil (FDA, INN, USAN);",G04BE10,G04BE10 [GENITO URINARY SYSTEM AND SEX HORMONES: UROLOGICALS: UROLOGICALS: Drugs used in erectile dysfunction],
"Furaltadone (BAN, INN, MI);",,,
"Quindonium Bromide (INN, USAN);",,,Cardiac Depressant (anti-arrhythmic)
Atiprosin Maleate (USAN);,,,Antihypertensive
Enolicam Sodium (USAN);,,,Antirheumatic; Anti-Inflammatory
"Laurolinium Acetate (BAN, INN, MI);",,,
"Dimethiodal Sodium (DCF, INN, MI);",,,
Cadrofloxacin (INN);,,,
"Aclatonium Napadisilate (INN, JAN, MI); Aclatonium Napadisylate (BAN);",,,
Amoxydramine Camsilate (INN); Amoxydramine Camsylate (DCF);,,,
Rocastine HCl (USAN); Rocastine (INN);,,,Antihistaminic
"Dabrafenib Mesylate (FDA, USAN); Dabrafenib (INN, USAN);",L01XE23,L01XE23 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Protein kinase inhibitors],
Cdp-850,,,
Fbt-a05,,,
Carbomer Copolymer (NF);,,,
"Hemoglobin Crosfumaril (INN, USAN);",B05AA08,B05AA08 [BLOOD AND BLOOD FORMING ORGANS: BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS: BLOOD AND RELATED PRODUCTS: Blood substitutes and plasma protein fractions],Perfusion Deficit Disorders Treatment
Aluminum Chlorohydrex Polyethylene Glycol (USP);,,,Anhidrotic
Kolfocon D (USAN);,,,Contact Lens Material (hydrophobic)
Rg-7624,,,
"Clove Oil (MI, NF);",,,Pharmaceutic Aid (flavor)
Rg-7347,,,
"Skin, Sterile Freeze-Dried Porcine Dermal (JAN);",,,
As-1403,,,
Imc-cs4,,,
Delanterone (INN);,,,
Cyheptropine (INN);,,,
"Doxacurium Chloride (BAN, FDA, INN, USAN);",,,Neuromuscular Blocking Agent
"Azaribine (BAN, INN, USAN);",,,Antipsoriatic
"Iopromide (BAN, FDA, INN, MI, USAN, USP);",V08AB05,"V08AB05 [VARIOUS: CONTRAST MEDIA: X-RAY CONTRAST MEDIA, IODINATED: Watersoluble, nephrotropic, low osmolar X-ray contrast media]",Diagnostic Aid (radiopaque medium)
"Todralazine HCl (JAN); Todralazine (BAN, INN, MI);",,,
Azelnidipine (INN);,,,
"Pancuronium Bromide (BAN, FDA, INN, JAN, USAN);",M03AC01,"M03AC01 [MUSCULO-SKELETAL SYSTEM: MUSCLE RELAXANTS: MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS: Other quaternary ammonium compounds]",Neuromuscular Blocking Agent
"Rolziracetam (BAN, INN);",,,
Equilin (USP);,,,Estrogen
"Dexamethasone Palmitate (JAN); Dexamethasone Metasulfobenzoate Sodium (JAN); Dexamethasone Valerate (JAN); Dexamethasone (BAN, FDA, INN, JAN, USP);",S02BA06; C05AA09; R01AD03; S01CB01; H02AB02; D10AA03; D07XB05; S01BA01; A01AC02; S03BA01; D07AB19; R01AD53,"S02BA06 [SENSORY ORGANS: OTOLOGICALS: CORTICOSTEROIDS: Corticosteroids]; C05AA09 [CARDIOVASCULAR SYSTEM: VASOPROTECTIVES: AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE: Corticosteroids]; R01AD03 [RESPIRATORY SYSTEM: NASAL PREPARATIONS: DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE: Corticosteroids]; S01CB01 [SENSORY ORGANS: OPHTHALMOLOGICALS: ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION: Corticosteroids/antiinfectives/mydriatics in combination]; H02AB02 [SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS: CORTICOSTEROIDS FOR SYSTEMIC USE: CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN: Glucocorticoids]; D10AA03 [DERMATOLOGICALS: ANTI-ACNE PREPARATIONS: ANTI-ACNE PREPARATIONS FOR TOPICAL USE: Corticosteroids, combinations for treatment of acne]; D07XB05 [DERMATOLOGICALS: CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS: CORTICOSTEROIDS, OTHER COMBINATIONS: Corticosteroids, moderately potent, other combinations]; S01BA01 [SENSORY ORGANS: OPHTHALMOLOGICALS: ANTIINFLAMMATORY AGENTS: Corticosteroids, plain]; A01AC02 [ALIMENTARY TRACT AND METABOLISM: STOMATOLOGICAL PREPARATIONS: STOMATOLOGICAL PREPARATIONS: Corticosteroids for local oral treatment]; S03BA01 [SENSORY ORGANS: OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS: CORTICOSTEROIDS: Corticosteroids]; D07AB19 [DERMATOLOGICALS: CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS: CORTICOSTEROIDS, PLAIN: Corticosteroids, moderately potent (group II)]; R01AD53 [RESPIRATORY SYSTEM: NASAL PREPARATIONS: DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE: Corticosteroids]",Glucocorticoid
"Lidorestat (INN, USAN);",,,
"Angiotensin Ii (INN, JAN);",,,
"Docosanol (FDA, USAN);",D06BB11,D06BB11 [DERMATOLOGICALS: ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE: CHEMOTHERAPEUTICS FOR TOPICAL USE: Antivirals],
"Pipemidic Acid (BAN, DCF, INN, MI); Pipemidic Acid Trihydrate (JAN);",J01MB04,J01MB04 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: QUINOLONE ANTIBACTERIALS: Other quinolones],
Alpha-Cypermethrin (BAN); Cypermethrin (BAN);,P03BA02,"P03BA02 [ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS: ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS: INSECTICIDES AND REPELLENTS: Pyrethrines]",
"Indoprofen (BAN, INN, USAN);",M01AE10,"M01AE10 [MUSCULO-SKELETAL SYSTEM: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS: Propionic acid derivatives]",Analgesic; Anti-Inflammatory
"Bezafibrate (BAN, INN, JAN, USAN);",C10AB02,"C10AB02 [CARDIOVASCULAR SYSTEM: LIPID MODIFYING AGENTS: LIPID MODIFYING AGENTS, PLAIN: Fibrates]",Antihyperlipoproteinemic
"Clodantoin (BAN, INN); Chlordantoin (USAN);",G01AX01,"G01AX01 [GENITO URINARY SYSTEM AND SEX HORMONES: GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS: ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS: Other antiinfectives and antiseptics]",Antifungal
"Doramapimod (INN, USAN);",,,
"Romazarit (BAN, INN, USAN);",,,Anti-Inflammatory; Antirheumatic
"Budesonide (BAN, FDA, INN, JAN, USAN);",R01AD05; A07EA06; R03BA02; D07AC09,"R01AD05 [RESPIRATORY SYSTEM: NASAL PREPARATIONS: DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE: Corticosteroids]; A07EA06 [ALIMENTARY TRACT AND METABOLISM: ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS: INTESTINAL ANTIINFLAMMATORY AGENTS: Corticosteroids acting locally]; R03BA02 [RESPIRATORY SYSTEM: DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES: OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS: Glucocorticoids]; D07AC09 [DERMATOLOGICALS: CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS: CORTICOSTEROIDS, PLAIN: Corticosteroids, potent (group III)]",Anti-Inflammatory
"Iodipamide Meglumine (FDA, USP); Iodipamide Sodium (FDA, USP); Iodipamide (USP); Iodipamide Sodium (131I) (USAN); Adipiodone (BAN, INN, JAN); Adipiodone Meglumine Injection (JAN);",V08AC04,"V08AC04 [VARIOUS: CONTRAST MEDIA: X-RAY CONTRAST MEDIA, IODINATED: Watersoluble, hepatotropic X-ray contrast media]","Diagnostic Aid (radiopaque medium),Radioactive Agent"
Fluazuron (INN);,,,
"Aprindine HCl (JAN, USAN); Aprindine (BAN, INN, USAN);",C01BB04,"C01BB04 [CARDIOVASCULAR SYSTEM: CARDIAC THERAPY: ANTIARRHYTHMICS, CLASS I AND III: Antiarrhythmics, class Ib]",Cardiac Depressant (anti-arrhythmic)
"Sibutramine (BAN, INN); Sibutramine HCl (FDA, USAN);",A08AA10,"A08AA10 [ALIMENTARY TRACT AND METABOLISM: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS: Centrally acting antiobesity products]",Antidepressant; Anorexic
"Trabectedin (FDA, INN, USAN);",L01CX01,L01CX01 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS: Other plant alkaloids and natural products],
"Etravirine (FDA, INN, USAN);",J05AG04,J05AG04 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIVIRALS FOR SYSTEMIC USE: DIRECT ACTING ANTIVIRALS: Non-nucleoside reverse transcriptase inhibitors],
"Rigosertib (INN, USAN); Rigosertib Sodium (USAN);",,,
"Tedizolid (INN, USAN);",J01XX11,J01XX11 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: OTHER ANTIBACTERIALS: Other antibacterials],
"Camazepam (INN, MI);",N05BA15,N05BA15 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANXIOLYTICS: Benzodiazepine derivatives],
"Idebenone (INN, JAN, MI);",N06BX13,"N06BX13 [NERVOUS SYSTEM: PSYCHOANALEPTICS: PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS: Other psychostimulants and nootropics]",
Flavin Adenin Dinucleotide (JAN);,,,
"Befetupitant (INN, USAN);",,,
"Metrizamide (BAN, FDA, INN, JAN, USAN);",V08AB01,"V08AB01 [VARIOUS: CONTRAST MEDIA: X-RAY CONTRAST MEDIA, IODINATED: Watersoluble, nephrotropic, low osmolar X-ray contrast media]",Diagnostic Aid (radiopaque medium)
"Mitobronitol (BAN, DCF, INN, JAN, MI);",L01AX01,L01AX01 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: ALKYLATING AGENTS: Other alkylating agents],
Vidarabine Phosphate (USAN);,,,Antiviral
"Tixanoxum (INN); Tixanox (INN, USAN);",,,Anti-Allergic
"Faldaprevir sodium (USAN); Faldaprevir (INN, USAN);",J05AE13,J05AE13 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIVIRALS FOR SYSTEMIC USE: DIRECT ACTING ANTIVIRALS: Protease inhibitors],
"Nimustine HCl (JAN); Nimustine (INN, MI);",L01AD06,L01AD06 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: ALKYLATING AGENTS: Nitrosoureas],
"Disofenin (BAN, INN, USAN);",,,Diagnostic Aid (carrier agent)
"Fludroxycortide (BAN, DCF, INN, JAN); Flurandrenolide (FDA, USAN, USP);",D07AC07,"D07AC07 [DERMATOLOGICALS: CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS: CORTICOSTEROIDS, PLAIN: Corticosteroids, potent (group III)]",Glucocorticoid
"Niceritrol (BAN, DCF, INN, JAN, MI);",C10AD01,"C10AD01 [CARDIOVASCULAR SYSTEM: LIPID MODIFYING AGENTS: LIPID MODIFYING AGENTS, PLAIN: Nicotinic acid and derivatives]",
Abamectin component b1b; Ivermectin component b1b,,,
"Thiocyanate Sodium (MI, NF);",,,
"Ambenoxan (BAN, INN);",,,
Bisfentidine (INN);,,,
Draquinolol (INN);,,,
"Heparin Calcium (FDA, USP);",C05BA53; B01AB51; C05BA03; B01AB01; S01XA14,C05BA53 [CARDIOVASCULAR SYSTEM: VASOPROTECTIVES: ANTIVARICOSE THERAPY: Heparins or heparinoids for topical use]; B01AB51 [BLOOD AND BLOOD FORMING ORGANS: ANTITHROMBOTIC AGENTS: ANTITHROMBOTIC AGENTS: Heparin group]; C05BA03 [CARDIOVASCULAR SYSTEM: VASOPROTECTIVES: ANTIVARICOSE THERAPY: Heparins or heparinoids for topical use]; B01AB01 [BLOOD AND BLOOD FORMING ORGANS: ANTITHROMBOTIC AGENTS: ANTITHROMBOTIC AGENTS: Heparin group]; S01XA14 [SENSORY ORGANS: OPHTHALMOLOGICALS: OTHER OPHTHALMOLOGICALS: Other ophthalmologicals],Anticoagulant
"Gloximonam (INN, USAN);",,,Antibacterial
"Mazipredone (INN, MI);",,,
"Octodecactide (DCF); Codactide (BAN, INN);",,,
Elanzepine (INN);,,,
"Mannitol Hexanitrate (INN, MI);",,,
"Steffimycin (INN, USAN);",,,Antiviral; Antibacterial
"Metamfazone (BAN, DCF, INN);",,,
Thurfyl Nicotinate (BAN);,,,
Flurithromycin (INN);,J01FA14,"J01FA14 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS: Macrolides]",
"Cynarine (INN, MI);",,,
Oxeglitazar (INN);,,,
Quarfloxin (USAN);,,,
Sameridine (INN);,,,
"Elcatonin (INN, JAN, MI);",H05BA04,"H05BA04 [SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS: CALCIUM HOMEOSTASIS: ANTI-PARATHYROID AGENTS: Calcitonin preparations]",
Vintriptol (INN);,,,
Azastene (INN);,,,
Lexofenac (INN);,,,
"Ciamexon (BAN, INN);",,,
Dimetamfetamine (INN);,,,
Desocriptine (INN);,,,
Cloprostenol Sodium (USAN);,,,Prostaglandin
"Dexmedetomidine (BAN, INN, USAN); Dexmedetomidine HCl (FDA, USAN);",N05CM18,N05CM18 [NERVOUS SYSTEM: PSYCHOLEPTICS: HYPNOTICS AND SEDATIVES: Other hypnotics and sedatives],Tranquilizer
"Ramelteon (FDA, INN, USAN);",N05CH02,N05CH02 [NERVOUS SYSTEM: PSYCHOLEPTICS: HYPNOTICS AND SEDATIVES: Melatonin receptor agonists],
"Medetomidine (BAN, INN); Medetomidine HCl (USAN);",,,Sedative (veterinary); Analgesic (veterinary)
"Homatropine (BAN, BAN); Homatropine Hydrobromide (JAN, USP);",S01FA05,S01FA05 [SENSORY ORGANS: OPHTHALMOLOGICALS: MYDRIATICS AND CYCLOPLEGICS: Anticholinergics],Anticholinergic
"Zimeldine (BAN, INN); Zimeldine HCl (USAN);",N06AB02,N06AB02 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTIDEPRESSANTS: Selective serotonin reuptake inhibitors],Antidepressant
"Ifosfamide (BAN, FDA, INN, JAN, USAN, USP);",L01AA06,L01AA06 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: ALKYLATING AGENTS: Nitrogen mustard analogues],Antineoplastic
